	Артикул	Наименование	Количество	Единица измерения	Цена для конечного пользователя, руб.	Стоимость для конечного пользователя, руб.	Примечания	Дата выдачи КП	Номер КП	Проектная скидка	"Цена с проектной скидкой,
  руб."	"Стоимость с проектной скидкой,
  руб."	Стандартная скидка	"Цена со стандартной скидкой,
  руб."	"Стоимость со стандартной скидкой,
  руб."	Цена для конечного пользователя, $	Стоимость для конечного пользователя, $	"Цена с проектной скидкой,
  $"	"Стоимость с проектной скидкой,
  $"	Цена для конечного пользователя, руб	Стоимость для конечного пользователя, руб	Цена с проектной скидкой, руб	Стоимость с проектной скидкой, руб	Цена , руб.	Стоимость руб.	проектная скидка	Цена со скидкой, руб.	Стоимость со скидкой, руб.	Цена для конечного пользователя, €	Стоимость для конечного пользователя, €	Цена с проектной скидкой, €	Стоимость с проектной скидкой, €	Скидка для конечного пользователя	Цена для конечного пользователя со скидкой, руб.	Стоимость для конечного пользователя со скидкой, руб.	Цена со специальной скидкой, $	Стоимость со специальной скидкой, $	"Цена с проектной скидкой,
  €"	"Стоимость с проектной скидкой,
  €"	"Цена,
  руб. "	скидка	цена со скидкой	стоимость со скидкой	Цена для конечного пользователя, Руб.	Стоимость для конечного пользователя, Руб.	"Цена с проектной скидкой,
  Руб."	"Стоимость с проектной скидкой,
  Руб."	Стоимость , руб.	Unnamed: 6	 руб.	спец ЕНДЮЗЕР	Цена со скидкой от , руб.	Входная стоимость	Стоимость для конечного пользователя, $.	"Цена с проектной скидкой,
  $."	"Стоимость с проектной скидкой,
  $."	"Ширина
мм"	"Глубина
мм"	Высота мм	Масса, кг	Unnamed: 2	Цена для конечного пользователя, $.
0	C3.PS4003	БРП управляемый C3, 3 фазы, 16А, С13-21, С19-3, 3 авт., вх.IEC 309, каб.3м	2.0	шт.	143900.0	287800.0		23.05.2022	4228	0.33	96400.0	192800.0																																																		
1	C3.UM2010	Модульное шасси ИБП C3 7U д.установки 2 модулей 10кВА, макс мощность 20кВА\кВт, LCD,  статический байпас, сервисный байпас, RS-232, RS-485, EPO, SNMPSlot, сухие контакты	1.0	шт.	314900.0	314900.0		23.05.2022	4228	0.33	211000.0	211000.0																																																		
2	C3.UMM010	Силовой модуль C3 10 кВА, 230/400V, мультифазн.,  зарядное утройство 4А	2.0	шт.	275600.0	551200.0		23.05.2022	4228	0.33	184700.0	369400.0																																																		
3	C3.UMB005_1	"Модульная батарейная емкость C3, 4U, для установки в шкаф 19"", АКБ 40*9Ач (один модуль содержит 4 кассеты с АКБ)"	1.0	шт.	296100.0	296100.0		23.05.2022	4228	0.33	198400.0	198400.0																																																		
4	C3.PM0001	Датчик температура/влажность	0.0	шт.	4400.0	0.0		23.05.2022	4228	0.33	2950.0	0.0																																																		
5	C3.RL4202	Шкаф C3 ECO 42U 600*1200, черный, дверь перф.	28.0	шт.	137300.0	3844400.0		15.09.2022	4229	0.36	87900.0	2461200.0																																																		
6	C3.RL4206	Шкаф C3 ECO 42U 800*1200, черный, дверь перф.	4.0	шт.	160100.0	640400.0		15.09.2022	4229	0.36	102500.0	410000.0																																																		
7	C3.PM4006	Блок распред.пит.с мониторингом C3, 3 фазы, 32А, С13-36, С19-6, 6 авт., вх.IEC 309, каб.3м	64.0	шт.	123600.0	7910400.0		15.09.2022	4229	0.36	79100.0	5062400.0																																																		
8	C3.PM0001	Датчик температура/влажность	64.0	шт.	4400.0	281600.0		15.09.2022	4229	0.36	2800.0	179200.0																																																		
9	C3.AD4218	Комплект дверной C3, 42U, прозрачн., д/коридора 1800мм, 2 двери	2.0	шт.	300000.0	600000.0		15.09.2022	4229	0.36	192000.0	384000.0																																																		
10	C3.AX4001	Механический синхронизатор раздвижения дверей C3	2.0	шт.	30000.0	60000.0		15.09.2022	4229	0.36	19200.0	38400.0																																																		
11	C3.AR1024	Панель потолочная C3, 600*1800мм	14.0	шт.	54800.0	767200.0		15.09.2022	4229	0.36	35100.0	491400.0																																																		
12	C3.AR1023	Панель потолочная C3, 800*1800мм	2.0	шт.	64500.0	129000.0		15.09.2022	4229	0.36	41300.0	82600.0																																																		
13	C3.PS3001	Стоечный переключатель нагрузки C3, 1U, 230В, 16А, вход C20-2, выход С13-8, C19-1	0.0	шт.	96100.0	0.0		15.09.2022	4229	0.3599999999999999	61500.0	0.0																																																		
14	C3.PS3101	Сетевая карта SNMP для переключателя нагрузки	0.0	шт.	20300.0	0.0		15.09.2022	4229	0.36	13000.0	0.0																																																		
15	C3.OV2001	Органайзер кабельный C3 верт., 8 металл.колец, 17U, (1компл.=2шт.)	0.0	шт.	16200.0	0.0		15.09.2022	4229	0.3599999999999999	10400.0	0.0																																																		
16	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	0.0	шт.	1400.0	0.0		15.09.2022	4229	0.3599999999999999	900.0	0.0																																																		
17	C3.PM0001	Датчик температура/влажность	0.0	шт.	4400.0	0.0		15.09.2022	4229	0.3599999999999999	2820.0	0.0																																																		
18	C3.BP2001	Панель-заглушка C3 пластик., 1U, быстросъемн.	0.0	шт.	400.0	0.0		15.09.2022	4229	0.3599999999999999	260.0	0.0																																																		
19	C3.MM0400	Модуль монитор. C3, 4 порта датч.	0.0	шт.	151400.0	0.0		15.09.2022	4229	0.36	96900.0	0.0																																																		
20	C3.ME0800	Модуль расширения мониторинга C3 на 8 портов датчиков	0.0	шт.	106900.0	0.0		15.09.2022	4229	0.36	68400.0	0.0																																																		
21	C3.MS4102	Комплект контроля доступа, 2 эл.мех. замка, 2 датч. открывания двери, 2 карты доступа	0.0	шт.	96700.0	0.0		15.09.2022	4229	0.36	61900.0	0.0																																																		
22	C3.RF4802	Шкаф C3 48U 600*1200, черный, дверь перф.	7.0	шт.	215100.0	1505700.0		23.05.2022	4230	0.33	144100.0	1008700.0																																																		
23	C3.PM4008	Блок распред.пит.с мониторингом C3, 3 фазы, 16А, С13-36, С19-6, 3 авт., вх.IEC 309, каб.3м	0.0	шт.	111200.0	0.0		23.05.2022	4230	0.33	74500.0	0.0																																																		
24	C3.PS3001	Стоечный переключатель нагрузки C3, 1U, 230В, 16А, вход C20-2, выход С13-8, C19-1	0.0	шт.	96100.0	0.0		23.05.2022	4230	0.33	64400.0	0.0																																																		
25	C3.PS3101	Сетевая карта SNMP для переключателя нагрузки	0.0	шт.	20300.0	0.0		23.05.2022	4230	0.33	13600.0	0.0																																																		
26	C3.PV2003	Блок распред.пит. C3 верт., 1 фаза, 32А, С13-36, C19-12, Schuko-3, 2 авт., вх.IEC 309, каб.2,5м	0.0	шт.	62100.0	0.0		23.05.2022	4230	0.33	41600.0	0.0																																																		
27	C3.OV2001	Органайзер кабельный C3 верт., 8 металл.колец, 17U, (1компл.=2шт.)	0.0	шт.	16200.0	0.0		23.05.2022	4230	0.33	10900.0	0.0																																																		
28	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	0.0	шт.	1400.0	0.0		23.05.2022	4230	0.33	940.0	0.0																																																		
29	C3.RW1006	Шкаф напольно-навесной C3 12U 600*600, черный, дверь стекло	25.0	шт.	30600.0	765000.0		23.05.2022	4231	0.33	20500.0	512500.0																																																		
30	C3.OH1003	Органайзер кабельный C3 гориз., 5 металл.колец, 1U	25.0	шт.	1400.0	35000.0		23.05.2022	4231	0.33	940.0	23500.0																																																		
31	C3.FR1001	Вентиляторная полка C3 д/уст.в крышу шкафа напольно-навесного	0.0	шт.	11200.0	0.0		23.05.2022	4231	0.33	7500.0	0.0																																																		
32	C3.PH1006	Блок распред.пит. C3 гориз., 1U, 1 фаза, 32А, С13-4, С19-2, Schuko-2, 2 авт., вх.IEC 309, каб.2,5м	0.0	шт.	26000.0	0.0		23.05.2022	4231	0.33	17400.0	0.0																																																		
33	C3.PA1013	Блок распред.пит. C3 гориз., 1U, 1 фаза, 16А, Schuko-9, вх.C20,каб.2,5м	0.0	шт.	8900.0	0.0		23.05.2022	4231	0.33	5960.0	0.0																																																		
34	C3.BP2001	Панель-заглушка C3 пластик., 1U, быстросъемн.	0.0	шт.	400.0	0.0		23.05.2022	4231	0.33	270.0	0.0																																																		
35	C3.LA2001	Светильник стационарный C3 светодиодный, 220В, 1U	0.0	шт.	3600.0	0.0		23.05.2022	4231	0.33	2410.0	0.0																																																		
36	C3.BS4803	Шкаф серверный C3 48U 600*1200, черный, дверь перф.	7.0	шт.	191200.0	1338400.0		23.05.2022	4232	0.25	143400.0	1003800.0																																																		
37	C3.OV2001	Органайзер кабельный C3 верт., 8 металл.колец, 17U, (1компл.=2шт.)	14.0	шт.	16200.0	226800.0		23.05.2022	4232	0.25	12200.0	170800.0																																																		
38	C3.PU5226_1	БРП с мониторингом C3 верт., 36U, 380В, 32А, С13-18, C19-6, Schuko-3, 6 авт., IEC 309, каб.3м, с возможностью подключения внешних датчиков , цвет красный	7.0	шт.	168100.0	1176700.0		23.05.2022	4232	0.25	126100.0	882700.0																																																		
39	C3.PU5226_2	БРП с мониторингом C3 верт., 36U, 380В, 32А, С13-18, C19-6, Schuko-3, 6 авт., IEC 309, каб.3м, с возможностью подключения внешних датчиков , цвет синий	7.0	шт.	168100.0	1176700.0		23.05.2022	4232	0.25	126100.0	882700.0																																																		
40	C3.AD4812	Комплект дверной C3, 48U, прозрачн., д/коридора 1200мм, 2 двери	1.0	шт.	286800.0	286800.0		23.05.2022	4232	0.25	215100.0	215100.0																																																		
41	C3.AX4001	Механический синхронизатор раздвижения дверей C3	1.0	шт.	30000.0	30000.0		23.05.2022	4232	0.25	22500.0	22500.0																																																		
42	C3.AR3006_2	Панель потолочная C3, 600*1200мм с отбортовкой 200мм	4.0	шт.	54000.0	216000.0		23.05.2022	4232	0.25	40500.0	162000.0																																																		
43	C3.AX3003	Заглушка C3 между шкафами, металл.	1.0	шт.	22800.0	22800.0		23.05.2022	4232	0.25	17100.0	17100.0																																																		
44	C3.TP2401	Секция лотка С3-240, 2м	6.0	шт.	8200.0	49200.0		23.05.2022	4232	0.25	6150.0	36900.0																																																		
45	C3.TP2403	Соединитель для лотка C3-240	10.0	шт.	1700.0	17000.0		23.05.2022	4232	0.25	1280.0	12800.0																																																		
46	C3.TP2404	Заглушка торцевая для лотка C3-240	0.0	шт.	1200.0	0.0		23.05.2022	4232	0.25	900.0	0.0																																																		
47	C3.TP2411	Угол горизонтальный 90° для лотка C3-240	3.0	шт.	2300.0	6900.0		23.05.2022	4232	0.25	1730.0	5190.0																																																		
48	C3.TP2413	Отвод Т-образный для лотка C3-240	1.0	шт.	3000.0	3000.0		23.05.2022	4232	0.25	2250.0	2250.0																																																		
49	C3.TP2414	Отвод крестообразный для лотка С3-240	0.0	шт.	3400.0	0.0		23.05.2022	4232	0.25	2550.0	0.0																																																		
50	C3.TPS003	Кабельный спуск шириной 90мм с крышкой	7.0	шт.	1300.0	9100.0		23.05.2022	4232	0.25	980.0	6860.0																																																		
