;№ КП;дата выдачи;Партнер (для КП);Конечный заказчик;Дистрибьютор;Sale;Presale
3419;3487;2022-01-10;Marvel;Яндекс;Марвел;Толоко;Антоновский
3420;3488;2022-01-10;Sonet;Русатом Оверсиз;;Толоко;Епихин
3421;3489;2022-01-10;Marvel;Яндекс;Марвел;Толоко;Антоновский
3422;3490;2022-01-10;Elcomtrading;АО РТИ;;Филипчук;Антоновский
3423;3491;2022-01-10;Compulink;Филиал АО «СО ЕЭС» Приморское РДУ Владивосток.;Марвел;Толоко;Антоновский
3424;3492;2022-01-11;GK Host;;;Турков;Антоновский
3425;3493;2022-01-11;EnergoPerspektiva;"АКЦИОНЕРНОЕ ОБЩЕСТВО &quot;ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ";Марвел;Толоко;Антоновский
3426;3494;2022-01-11;Impuls-Telecom;Яндекс офис;;Толоко;Антоновский
3427;3495;2022-01-11;Pref;ТатТелеком;;Турков;Антоновский
3428;3496;2022-01-11;Impuls-Telecom;;;Толоко;Антоновский
3429;3497;2022-01-11;Ixcellerate;;;Толоко;Юль
3430;3498;2022-01-12;IVS;УралКалий;;Никитин;Антоновский
3431;3499;2022-01-12;Marvel;Яндекс;Марвел;Толоко;Антоновский
3432;3500;2022-01-12;Ixcellerate;;;Толоко;Антоновский
3433;3501;2022-01-12;Rubitech;ФНС;Марвел;Никитин;Антоновский
3434;3502;2022-01-12;Marvel;ООО «РТК ЦТ»;Марвел;Никитин;Епихин
3435;3503;2022-01-12;Aquarius;АО «Научно-исследовательский институт точных приборов» (АО «НИИ ТП»)-Роскосмос;Марвел;Толоко;Епихин
3436;3504;2022-01-12;Inline;Dataline;;Турков;Епихин
3437;3505;2022-01-13;StepLogic;Сбер;Марвел;Толоко;Антоновский
3438;3506;2022-01-13;Open technology;БеларусьКалий;Марвел;Никитин;Епихин
3439;3507;2022-01-14;GK Host;;;Турков;Антоновский
3440;3508;2022-01-14;Wizard;Qiwi;;Турков;Епихин
3441;3509;2022-01-14;RTS Distrib;Максима Телеком;;Турков;Антоновский
3442;3510;2022-01-17;GK VBK;АОУ ДО ВО «Региональный центр дополнительного образования детей»;Марвел;Толоко;Антоновский
3443;3511;2022-01-17;Infotaktika;ФТС;;Турков;Епихин
3444;3512;2022-01-17;Icore;Сбербанк;;Нугманов;Юль
3445;3513;2022-01-17;Aquarius;Росавиация;Марвел;Толоко;Антоновский
3446;3514;2022-01-17;Hi-Tech;Гохран;;Никитин;Антоновский
3447;3515;2022-01-18;StepLogic;Сбер;Марвел;Толоко;Антоновский
3448;3516;2022-01-18;Marvel;Рутюб;;Турков;Епихин
3449;3517;2022-01-18;Selectel;;;Никитин;Антоновский
3450;3518;2022-01-18;Merlion;Stack24 Казань;;Турков;Антоновский
3451;3519;2022-01-18;Marvel;Яндекс;Марвел;Толоко;Антоновский
3452;3520;2022-01-19;ICL;ОГАУ, Областное государственное автономное учреждение «Информационно-технический центр Иркутской области»;;Толоко;Епихин
3453;3521;2022-01-19;Matrix Technology;Яндекс;Марвел;Толоко;Антоновский
3454;3522;2022-01-19;Marvel;БанкСофт Системс;Марвел;Толоко;Антоновский
3455;3523;2022-01-19;Softline;НЛМК;;Филипчук;Антоновский
3456;3524;2022-01-19;Merlion;"АКЦИОНЕРНОЕ ОБЩЕСТВО &quot;ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ";;Толоко;Антоновский
3457;3525;2022-01-19;Rusenergo;ФГУП Главное военно-строительное управление;;Турков;Антоновский
3458;3526;2022-01-19;Spectr-RS;ФГБУ «Российская национальная библиотека» (РНБ) г. Санкт-Петербург, Садовая ул., д. 18;;Толоко;Антоновский
3459;3527;2022-01-20;Kornet-yug;ФГБУ Пирогова;;Турков;Епихин
3460;3528;2022-01-20;RTK;Завод «Восход»;;Толоко;Антоновский
3461;3529;2022-01-20;Triokom Service;Яндекс;Марвел;Толоко;Антоновский
3462;3530;2022-01-20;EcoART;;Марвел;Толоко;Антоновский
3463;3531;2022-01-20;Ittechnogroup;Министерство образования Республика Тыва;;Турков;Антоновский
3464;3532;2022-01-20;Icore;Сбербанк;;Нугманов;Юль
3465;3533;2022-01-21;Marvel;Teleperformance;;Турков;Юль
3466;3534;2022-01-21;Pref;Субмикрон;;Турков;Епихин
3467;3535;2022-01-24;MSC;ГБУ «НИИОЗММ ДЗМ» ИНН;;Филипчук;Антоновский
3468;3536;2022-01-24;DataRK;АО Уральские Авиалинии.;;Толоко;Антоновский
3469;3537;2022-01-24;Silmatech;Роскосмос;;Турков;Антоновский
3470;3538;2022-01-24;Antek;Росатом;;Филипчук;Антоновский
3471;3539;2022-01-24;Sinto;Кузнецов;;Филипчук;Антоновский
3472;3540;2022-01-24;Inart;;;Толоко;Антоновский
3473;3541;2022-01-24;Concept Engineering;Алроса;;Толоко;Антоновский
3474;3542;2022-01-24;Inline;РТК ЦОД;;Турков;Антоновский
3475;3543;2022-01-24;Aquarius;Министерство обороны Вымпел;Марвел;Толоко;Епихин
3476;3544;2022-01-25;USSB;;;Никитин;Антоновский
3477;3545;2022-01-25;Iteco;Трастинфо;;Никитин;Антоновский
3478;3546;2022-01-25;Spectr-RS;ЦОД Адман;;Толоко;Антоновский
3479;3547;2022-01-25;Rubitech;ЦТ Восток;;Никитин;Епихин
3480;3548;2022-01-26;Wizard;ФСК ЕЭС ИНН: 4716016979;;Турков;Епихин
3481;3549;2022-01-26;StepLogic;Сбер;Марвел;Толоко;Антоновский
3482;3550;2022-01-27;Trinity;Главная Линия;Марвел;Толоко;Антоновский
3483;3551;2022-01-27;IOT;ИОТ;;Никитин;Антоновский
3484;3552;2022-01-27;Gazpromneft ITO;Газпромнефть ИТО;;Филипчук;Антоновский
3485;3553;2022-01-28;Comita;Газпром Информ;Марвел;Филипчук;Епихин
3486;3554;2022-01-28;Orbitek;Яндекс Маркет;;Толоко;Антоновский
3487;3555;2022-01-28;Softline;Свердловский областной фонд поддержки предпринимательства ИН;;Турков;Антоновский
3488;3556;2022-01-28;Rubitech;ФНС;Марвел;Никитин;Антоновский
3489;3557;2022-01-28;StepLogic;Новый Импульс-50.;;Толоко;Антоновский
3490;3558;2022-01-30;DC Group;Мосводоканал;;Филипчук;Юль
3491;3559;2022-01-30;Comparex;Comparex;;Турков;Юль
3492;3560;2022-01-31;Marvel;Яндекс;Марвел;Толоко;Антоновский
3493;3561;2022-01-31;Marvel;Яндекс;Марвел;Толоко;Антоновский
3494;3562;2022-02-01;In Pro;;Марвел;Толоко;Епихин
3495;3563;2022-02-01;Ritm IT;Камаз;Марвел;Никитин;Антоновский
3496;3564;2022-02-01;Rubitech;Сбербанк Девелопмент;Марвел;Никитин;Антоновский
3497;3565;2022-02-01;Hi-Tech;Центральный Банк РФ;;Турков;Антоновский
3498;3566;2022-02-02;Marvel;;;Нугманов;Антоновский
3499;3567;2022-02-02;Elkom;ИВК - НИЦСпб - МО (Министерство обороны);;Толоко;Антоновский
3500;3568;2022-02-02;Marvel;;Марвел;Толоко;Антоновский
3501;3569;2022-02-02;USSB;Ново-Рязанская ТЭЦ.;;Никитин;Антоновский
3502;3570;2022-02-02;Unetwork;НПО им. С.А. Лавочкина;;Турков;Антоновский
3503;3571;2022-02-02;StepLogic;Сбер;Марвел;Толоко;Епихин
3504;3572;2022-02-02;Pref;Газпром медиа;;Турков;Епихин
3505;3573;2022-02-02;Marvel;Яндекс;Марвел;Толоко;Антоновский
3506;3574;2022-02-03;Impuls-Telecom;Селектел;;Толоко;Антоновский
3507;3575;2022-02-03;Hi-Tech;Центральный Банк РФ;;Турков;Епихин
3508;3576;2022-02-03;Marvel;Comita;Марвел;Нугманов;Антоновский
3509;3577;2022-02-03;IVS;Пермский Пороховой Завод;;Никитин;Юль
3510;3578;2022-02-03;Tempesto;Мосводоканал;;Кукарских;Юль
3511;3579;2022-02-04;Softline;Артпласт;;Турков;Антоновский
3512;3580;2022-02-04;AtomData;Атомдата;Марвел;Никитин;Антоновский
3513;3581;2022-02-04;StepLogic;Сбер;Марвел;Толоко;Антоновский
3514;3582;2022-02-04;Equant;LINDE: Linde Engineering Rus;Марвел;Толоко;Антоновский
3515;3583;2022-02-04;KIT-Systems;ПИИТ (Программный инжиниринг и технологии);;Турков;Епихин
3516;3584;2022-02-04;Ixcellerate;;;Толоко;Антоновский
3517;3585;2022-02-07;Ittechnogroup;ЭКОЛОГО-ТУРИСТИЧЕСКИЙ ЦЕНТР В ПАРКОВОМ;;Турков;Антоновский
3518;3586;2022-02-07;Ittechnogroup;МПК КВОРЦОВО;;Турков;Антоновский
3519;3587;2022-02-07;Rubitech;ФНС;Марвел;Никитин;Антоновский
3520;3588;2022-02-07;Volga;Транснефть;;Турков;Епихин
3521;3589;2022-02-07;Servionica;Мосэнергосбыт;;Никитин;Антоновский
3522;3590;2022-02-07;Storing;Сбербанк;;Турков;Антоновский
3523;3591;2022-02-07;Hited;;;Турков;Епихин
3524;3592;2022-02-07;StepLogic;;;Толоко;Антоновский
3525;3593;2022-02-07;Concept Engineering;Министерство образования, Правительство Москвы.;OCS;Толоко;Юль
3526;3594;2022-02-08;3data;3data;;Никитин;Епихин
3527;3595;2022-02-08;Infotaktika;НПО Лавочкина;;Турков;Антоновский
3528;3596;2022-02-08;Hited;Российская телерадио сеть (РТРС);Марвел;Толоко;Антоновский
3529;3597;2022-02-08;Goznak;Гознак;;Турков;Антоновский
3530;3598;2022-02-08;Vybos;ФГБУ Федеральный центр анализа и оценки техногенного воздействия (ФЦАО);;Толоко;Антоновский
3531;3599;2022-02-09;Selectel;Selectel;;Никитин;Епихин
3532;3600;2022-02-09;SPB Giproshaht;Воркутауголь;;Турков;Епихин
3533;3601;2022-02-09;TecForce;Газпром;;Турков;Антоновский
3534;3602;2022-02-09;Vybos;Hi-tech-Роскосмос;;Толоко;Епихин
3535;3603;2022-02-10;Mdagrp;Росатом;Марвел;Толоко;Антоновский
3536;3604;2022-02-10;Smartc;Сбербанк;;Никитин;Антоновский
3537;3605;2022-02-10;DWG;СКК МРИЯ;;Турков;Антоновский
3538;3606;2022-02-10;Goznak;Гознак;;Турков;Антоновский
